guid,time,value
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.058655172,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.05912069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.059586207,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.060051724,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.060517241,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.060982759,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.061448276,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.061913793,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.06237931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.062844828,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.063310345,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.063775862,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.064241379,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.064706897,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.065172414,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.065637931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.066103448,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.066568966,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.067034483,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.0675,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.067965517,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.068431034,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.068896552,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.069362069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.069827586,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.070293103,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.070758621,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.071224138,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.071689655,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.072155172,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.07262069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.073086207,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.073551724,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.074017241,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.074482759,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.074948276,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.075413793,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.07587931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.076344828,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.076810345,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.077275862,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.077741379,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.078206897,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.078672414,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.079137931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.079603448,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.080068966,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.080534483,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.081,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.081465517,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.081931034,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.082396552,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.082862069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.083327586,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.083793103,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.084258621,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.084724138,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.085189655,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.085655172,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.08612069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.086586207,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.087051724,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.087517241,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.087982759,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.088448276,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.088913793,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.08937931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.089844828,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.090310345,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.090775862,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.091241379,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.091706897,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.092172414,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.092637931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.093103448,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.093568966,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.094034483,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.0945,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.094965517,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.095431034,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.095896552,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.096362069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.096827586,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.097293103,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.097758621,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.098224138,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.098689655,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.099155172,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.09962069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.100086207,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.100551724,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.101017241,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.101482759,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.101948276,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.102413793,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.10287931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.103344828,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.103810345,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.104275862,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.104741379,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.105206897,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.105672414,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.106137931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.106603448,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.107068966,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.107534483,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.108,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.108465517,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.108931034,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.109396552,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.109862069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.110327586,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.110793103,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.111258621,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.111724138,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.112189655,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.112655172,0.0
